file name,energy,zero cross,amplitude,pitch,global tempo,beat track
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\100Hz_44100Hz_16bit_05sec.wav,431,10,216,25,123.046875,0
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\100Hz_44100Hz_16bit_30sec.wav,2584,10,1292,1,123.046875,0
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\100Hz_44100Hz_16bit_30seconds.wav,2584,10,1292,1,123.046875,0
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\10kHz_44100Hz_16bit_30seconds.wav,2584,906,1292,1,129.19921875,0
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\1kHz_44100Hz_16bit_05sec.wav,431,91,216,2,129.19921875,0
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\1kHz_44100Hz_16bit_30sec.wav,2584,91,1292,1,123.046875,0
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\250Hz_44100Hz_16bit_05sec.wav,431,23,216,27,143.5546875,0
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\250Hz_44100Hz_16bit_30sec.wav,2584,23,1292,1,112.34714673913044,0
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\250Hz_44100Hz_16bit_30seconds.wav,2584,23,1292,1,112.34714673913044,0
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\440Hz_44100Hz_16bit_05sec.wav,431,40,216,2,112.34714673913044,0
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\440Hz_44100Hz_16bit_30sec.wav,2584,40,1292,1,112.34714673913044,0
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\Ambiguous-Bell.wav,792,47,396,16,123.046875,0
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\bell-tower.wav,428,36,214,1,135.99917763157896,57.421875
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\brilliant-arresting-extravagant.wav,280,59,140,10,143.5546875,66.25600961538461
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\cheesy-chimes.wav,399,627,200,2,151.99908088235293,78.30255681818181
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\great-now-weve-got-time-to-party.wav,273,34,137,6,135.99917763157896,66.25600961538461
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\healing-powers-work-at-long-range.wav,293,91,147,5,107.666015625,107.666015625
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\imagine-yourself-nightmare-begins.wav,1023,70,512,28,129.19921875,95.703125
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\interplay-sort-of-like-a-game.wav,404,44,202,10,123.046875,80.74951171875
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\journey-comes-to-end-music-drama.wav,281,39,141,13,143.5546875,58.72691761363637
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\mathematical-disasters-disrupt-patterns.wav,612,0,306,26,135.99917763157896,60.09265988372093
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\meditation-jangle-bell.wav,972,536,486,26,117.45383522727273,53.8330078125
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\not-a-dream-whats-happening-to-place.wav,350,170,175,7,92.28515625,92.28515625
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\one-pretty-bell.wav,517,258,259,3,135.99917763157896,0
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\one-round-bellhit.wav,390,39,195,17,129.19921875,198.76802884615384
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\sweden-ball-hit.wav,199,440,100,2,161.4990234375,198.76802884615384
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\tinkle-bright-bell.wav,569,474,285,24,99.38401442307692,86.1328125
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\too-cute-bells.wav,118,512,59,2,161.4990234375,287.109375
C:/Users/HIMANSHU GOYAL/Desktop/audio for training\wobble-bell.wav,773,47,387,11,135.99917763157896,0
